Weight_Mult,Conf_Thresh,MAE,Best
1.0,0.4,28.7286358320377,True
1.0,0.5,31.160035818911968,False
1.0,0.6,32.56660798709454,False
2.0,0.4,18.093057653810227,True
2.0,0.5,25.241570227842374,False
2.0,0.6,29.393251301344307,False
3.0,0.4,17.52118375132811,True
3.0,0.5,25.811227449218965,False
3.0,0.6,29.923437567374275,False
